State Code,2017 Median Income
US,62868
AL,52359
AK,73992
AZ,62615
AR,50019
CA,71459
CO,75980
CT,74554
DE,63837
DC,85415
FL,54990
GA,58406
HI,75369
ID,61676
IL,66184
IN,60308
IA,65028
KS,59283
KY,52600
LA,44973
ME,52923
MD,83061
MA,75012
MI,59107
MN,73673
MS,44500
MO,58272
MT,60527
NE,61072
NV,57929
NH,76624
NJ,74776
NM,49022
NY,63969
NC,51570
ND,61346
OH,61225
OK,56347
OR,66185
PA,64713
RI,68008
SC,56311
SD,58281
TN,56587
TX,60740
UT,73058
VT,65360
VA,73031
WA,77256
WV,46499
WI,64998
WY,59247
